ISO3,CountryCode,Country Name,CountryCode
ABW,533,Aruba,533
AFG,4,Afghanistan,4
AGO,24,Angola,24
AIA,660,Anguila,660
ALB,8,Albania,8
ALI,248,Åland Islands,248
AND,20,Andorra,20
ANT,530,Netherlands Antilles,530
ARE,784,United Arab Emirates,784
ARG,32,Argentina,32
ARM,51,Armenia,51
ASM,16,American Samoa,16
ATA,10,Antarctica,10
ATF,260,Fr. So. Ant. Tr,260
ATG,28,Antigua and Barbuda,28
AUS,36,Australia,36
AUT,40,Austria,40
AZE,31,Azerbaijan,31
BAT,80,Br. Antr. Terr,80
BDI,108,Burundi,108
BEL,56,Belgium,56
BEN,204,Benin,204
BFA,854,Burkina Faso,854
BGD,50,Bangladesh,50
BGR,100,Bulgaria,100
BHR,48,Bahrain,48
BHS,44,"Bahamas, The",44
BIH,70,Bosnia and Herzegovina,70
BLR,112,Belarus,112
BLX,58,Belgium-Luxembourg,58
BLZ,84,Belize,84
BMU,60,Bermuda,60
BOL,68,Bolivia,68
BRA,76,Brazil,76
BRB,52,Barbados,52
BRN,96,Brunei,96
BTN,64,Bhutan,64
BUN,837,Bunkers,837
BVT,74,Bouvet Island,74
BWA,72,Botswana,72
CAF,140,Central African Republic,140
CAN,124,Canada,124
CCK,166,Cocos (Keeling) Islands,166
CHE,756,Switzerland,756
CHL,152,Chile,152
CHN,156,China,156
CIV,384,Cote d'Ivoire,384
CMR,120,Cameroon,120
COG,178,"Congo, Rep.",178
COK,184,Cook Islands,184
COL,170,Colombia,170
COM,174,Comoros,174
CPV,132,Cape Verde,132
CRI,188,Costa Rica,188
CSK,200,Czechoslovakia,200
CUB,192,Cuba,192
CXR,162,Christmas Island,162
CYM,136,Cayman Islands,136
CYP,196,Cyprus,196
CZE,203,Czech Republic,203
DDR,278,German Democratic Republic,278
DEU,276,Germany,276
DJI,262,Djibouti,262
DMA,212,Dominica,212
DNK,208,Denmark,208
DOM,214,Dominican Republic,214
DZA,12,Algeria,12
ECU,218,Ecuador,218
EGY,818,"Egypt, Arab Rep.",818
ERI,232,Eritrea,232
ESH,732,Western Sahara,732
ESP,724,Spain,724
EST,233,Estonia,233
ETF,230,Ethiopia(includes Eritrea),230
ETH,231,Ethiopia(excludes Eritrea),231
EUN,918,European Union,918
FIN,246,Finland,246
FJI,242,Fiji,242
FLK,238,Falkland Island,238
FRA,250,France,250
FRE,838,Free Zones,838
FRO,234,Faeroe Islands,234
FSM,583,"Micronesia, Fed. Sts.",583
GAB,266,Gabon,266
GAZ,274,Gaza Strip,274
GBR,826,United Kingdom,826
GEO,268,Georgia,268
GHA,288,Ghana,288
GIB,292,Gibraltar,292
GIN,324,Guinea,324
GLP,312,Guadeloupe,312
GMB,270,"Gambia, The",270
GNB,624,Guinea-Bissau,624
GNQ,226,Equatorial Guinea,226
GRC,300,Greece,300
GRD,308,Grenada,308
GRL,304,Greenland,304
GTM,320,Guatemala,320
GUF,254,French Guiana,254
GUM,316,Guam,316
GUY,328,Guyana,328
HKG,344,"Hong Kong, China",344
HMD,334,Heard Island and McDonald Isla,334
HND,340,Honduras,340
HRV,191,Croatia,191
HTI,332,Haiti,332
HUN,348,Hungary,348
IDN,360,Indonesia,360
IND,356,India,356
IOT,86,British Indian Ocean Ter.,86
IRL,372,Ireland,372
IRN,364,"Iran, Islamic Rep.",364
IRQ,368,Iraq,368
ISL,352,Iceland,352
ISR,376,Israel,376
ITA,380,Italy,380
JAM,388,Jamaica,388
JOR,400,Jordan,400
JPN,392,Japan,392
JTN,396,Jhonston Island,396
KAZ,398,Kazakhstan,398
KEN,404,Kenya,404
KGZ,417,Kyrgyz Republic,417
KHM,116,Cambodia,116
KIR,296,Kiribati,296
KN1,658,Saint Kitts-Nevis-Anguilla-Aru,658
KNA,659,St. Kitts and Nevis,659
KOR,410,"Korea, Rep.",410
KSV,412,Kosovo,412
KWT,414,Kuwait,414
LAO,418,Lao PDR,418
LBN,422,Lebanon,422
LBR,430,Liberia,430
LBY,434,Libya,434
LCA,662,St. Lucia,662
LIE,438,Liechtenstein,438
LKA,144,Sri Lanka,144
LSO,426,Lesotho,426
LTU,440,Lithuania,440
LUX,442,Luxembourg,442
LVA,428,Latvia,428
MAC,446,Macao,446
MAR,504,Morocco,504
MCO,492,Monaco,492
MDA,498,Moldova,498
MDG,450,Madagascar,450
MDV,462,Maldives,462
MEX,484,Mexico,484
MHL,584,Marshall Islands,584
MID,488,Midway Islands,488
MKD,807,"Macedonia, FYR",807
MLI,466,Mali,466
MLT,470,Malta,470
MMR,104,Myanmar,104
MNG,496,Mongolia,496
MNP,580,Northern Mariana Islands,580
MNT,499,Montenegro,499
MOZ,508,Mozambique,508
MRT,478,Mauritania,478
MSR,500,Montserrat,500
MTQ,474,Martinique,474
MUS,480,Mauritius,480
MWI,454,Malawi,454
MYS,458,Malaysia,458
MYT,175,Mayotte,175
NAM,516,Namibia,516
NCL,540,New Caledonia,540
NER,562,Niger,562
NFK,574,Norfolk Island,574
NGA,566,Nigeria,566
NIC,558,Nicaragua,558
NIU,570,Niue,570
NLD,528,Netherlands,528
NOR,578,Norway,578
NPL,524,Nepal,524
NRU,520,Nauru,520
NZE,536,Neutral Zone,536
NZL,554,New Zealand,554
OMN,512,Oman,512
PAK,586,Pakistan,586
PAN,591,Panama,591
PCE,582,Pacific Islands,582
PCN,612,Pitcairn,612
PCZ,592,Fm Panama Cz,592
