ReporterEconomyCode,PartnerEconomyCode,Year,Value,r_lat,r_long,Reporter,p_lat,p_long,Partner,ProductOrSectorCode
8,300,2017,13760858.0,41.153332,20.168331,Albania,39.074208,21.824312,Greece,01
8,642,2017,4000529.0,41.153332,20.168331,Albania,45.943161,24.96676,Romania,01
376,642,2017,50413000.0,31.046051,34.851612,Israel,45.943161,24.96676,Romania,01
400,642,2017,97664313.0,30.585164,36.238414,Jordan,45.943161,24.96676,Romania,01
498,642,2017,960192.0,47.411631,28.369885,Moldova,45.943161,24.96676,Romania,01
8,348,2017,3591172.0,41.153332,20.168331,Albania,47.162494,19.503304,Hungary,01
268,348,2017,1280260.0,42.315407,43.356892,Georgia,47.162494,19.503304,Hungary,01
376,348,2017,27826000.0,31.046051,34.851612,Israel,47.162494,19.503304,Hungary,01
398,348,2017,1792117.0,48.019573,66.923684,Kazakhstan,47.162494,19.503304,Hungary,01
498,348,2017,2121673.0,47.411631,28.369885,Moldova,47.162494,19.503304,Hungary,01
566,348,2017,373992.0,9.081999,8.675277,Nigeria,47.162494,19.503304,Hungary,01
804,348,2017,11433479.0,48.379433,31.16558,Ukraine,47.162494,19.503304,Hungary,01
8,100,2017,3162301.0,41.153332,20.168331,Albania,42.733883,25.48583,Bulgaria,01
32,76,2017,17723325.0,-38.416097,-63.616672,Argentina,-14.235004,-51.92528,Brazil,01
68,76,2017,5205017.0,-16.290154,-63.588653,Bolivia,-14.235004,-51.92528,Brazil,01
152,76,2017,4615370.0,-35.675147,-71.542969,Chile,-14.235004,-51.92528,Brazil,01
170,76,2017,11030147.0,4.570868,-74.297333,Colombia,-14.235004,-51.92528,Brazil,01
214,76,2017,1459407.0,18.735693,-70.162651,Dominican Republic,-14.235004,-51.92528,Brazil,01
218,76,2017,14274000.0,-1.831239,-78.183406,Ecuador,-14.235004,-51.92528,Brazil,01
400,76,2017,35643693.0,30.585164,36.238414,Jordan,-14.235004,-51.92528,Brazil,01
450,76,2017,312290.0,-18.766947,46.869107,Madagascar,-14.235004,-51.92528,Brazil,01
600,76,2017,7905253.0,-23.442503,-58.443832,Paraguay,-14.235004,-51.92528,Brazil,01
604,76,2017,12095056.0,-9.189967,-75.015152,Peru,-14.235004,-51.92528,Brazil,01
686,76,2017,410683.0,14.497401,-14.452362,Senegal,-14.235004,-51.92528,Brazil,01
818,76,2017,40768952.0,26.820553,30.802498,"Egypt, Arab Rep.",-14.235004,-51.92528,Brazil,01
858,76,2017,2236248.0,-32.522779,-55.765835,Uruguay,-14.235004,-51.92528,Brazil,01
32,840,2017,1416002.0,-38.416097,-63.616672,Argentina,37.09024,-95.712891,United States,01
76,840,2017,3749942.0,-14.235004,-51.92528,Brazil,37.09024,-95.712891,United States,01
84,840,2017,824551.0,17.189877,-88.49765,Belize,37.09024,-95.712891,United States,01
124,840,2017,274437922.0,56.130366,-106.346771,Canada,37.09024,-95.712891,United States,01
144,840,2017,2438879.0,7.873054,80.771797,Sri Lanka,37.09024,-95.712891,United States,01
152,840,2017,3777219.0,-35.675147,-71.542969,Chile,37.09024,-95.712891,United States,01
158,840,2017,3289900.0,23.69781,120.960515,"Taiwan, China",37.09024,-95.712891,United States,01
170,840,2017,1402908.0,4.570868,-74.297333,Colombia,37.09024,-95.712891,United States,01
188,840,2017,6126043.0,9.748917,-83.753428,Costa Rica,37.09024,-95.712891,United States,01
214,840,2017,1780068.0,18.735693,-70.162651,Dominican Republic,37.09024,-95.712891,United States,01
218,840,2017,1745000.0,-1.831239,-78.183406,Ecuador,37.09024,-95.712891,United States,01
222,840,2017,4648848.0,13.794185,-88.89653,El Salvador,37.09024,-95.712891,United States,01
356,840,2017,2127908.0,20.593684,78.96288,India,37.09024,-95.712891,United States,01
360,840,2017,22223761.0,-0.789275,113.921327,Indonesia,37.09024,-95.712891,United States,01
392,840,2017,60663200.0,36.204824,138.252924,Japan,37.09024,-95.712891,United States,01
410,840,2017,37230230.0,40.339852,127.510093,"Korea, Rep.",37.09024,-95.712891,United States,01
446,840,2017,5160.0,22.198745,113.543873,Macao,37.09024,-95.712891,United States,01
458,840,2017,4251483.0,4.210484,101.975766,Malaysia,37.09024,-95.712891,United States,01
484,840,2017,134997739.0,23.634501,-102.552784,Mexico,37.09024,-95.712891,United States,01
554,840,2017,606780.0,-40.900557,174.885971,New Zealand,37.09024,-95.712891,United States,01
558,840,2017,1111410.0,12.865416,-85.207229,Nicaragua,37.09024,-95.712891,United States,01
586,840,2017,4590524.0,30.375321,69.345116,Pakistan,37.09024,-95.712891,United States,01
591,840,2017,7220516.0,8.537981,-80.782127,Panama,37.09024,-95.712891,United States,01
600,840,2017,306440.0,-23.442503,-58.443832,Paraguay,37.09024,-95.712891,United States,01
604,840,2017,1935251.0,-9.189967,-75.015152,Peru,37.09024,-95.712891,United States,01
608,840,2017,90496.0,12.879721,121.774017,Philippines,37.09024,-95.712891,United States,01
634,840,2017,9588610.0,25.354826,51.183884,Qatar,37.09024,-95.712891,United States,01
764,840,2017,8081376.0,15.870032,100.992541,Thailand,37.09024,-95.712891,United States,01
858,840,2017,244967.0,-32.522779,-55.765835,Uruguay,37.09024,-95.712891,United States,01
32,152,2017,538371.0,-38.416097,-63.616672,Argentina,-35.675147,-71.542969,Chile,01
156,152,2017,20911945.0,35.86166,104.195397,China,-35.675147,-71.542969,Chile,01
218,152,2017,1132000.0,-1.831239,-78.183406,Ecuador,-35.675147,-71.542969,Chile,01
604,152,2017,1150652.0,-9.189967,-75.015152,Peru,-35.675147,-71.542969,Chile,01
32,724,2017,365747.0,-38.416097,-63.616672,Argentina,40.463667,-3.74922,Spain,01
188,724,2017,298000.0,9.748917,-83.753428,Costa Rica,40.463667,-3.74922,Spain,01
384,724,2017,204605.0,7.539989,-5.54708,Cote d'Ivoire,40.463667,-3.74922,Spain,01
504,724,2017,17441261.0,31.791702,-7.09262,Morocco,40.463667,-3.74922,Spain,01
608,724,2017,552668.0,12.879721,121.774017,Philippines,40.463667,-3.74922,Spain,01
818,724,2017,27933903.0,26.820553,30.802498,"Egypt, Arab Rep.",40.463667,-3.74922,Spain,01
36,554,2017,68621838.0,-25.274398,133.775136,Australia,-40.900557,174.885971,New Zealand,01
104,554,2017,783101.0,21.913965,95.956223,Myanmar,-40.900557,174.885971,New Zealand,01
144,554,2017,6136937.0,7.873054,80.771797,Sri Lanka,-40.900557,174.885971,New Zealand,01
156,554,2017,75880589.0,35.86166,104.195397,China,-40.900557,174.885971,New Zealand,01
344,554,2017,33779995.0,22.396428,114.109497,"Hong Kong, China",-40.900557,174.885971,New Zealand,01
360,554,2017,802329.0,-0.789275,113.921327,Indonesia,-40.900557,174.885971,New Zealand,01
462,554,2017,24021.0,3.202778,73.22068,Maldives,-40.900557,174.885971,New Zealand,01
600,554,2017,47230.0,-23.442503,-58.443832,Paraguay,-40.900557,174.885971,New Zealand,01
702,554,2017,3391734.0,1.352083,103.819836,Singapore,-40.900557,174.885971,New Zealand,01
36,826,2017,25307637.0,-25.274398,133.775136,Australia,55.378051,-3.435973,United Kingdom,01
