,Freq,Reporter,Partner,ProductCode,Indicator,Year,Value,DataSource
4977,Annual,World,World,All Products,Import Trade Value (US$ Thousand),2017,17620453934.43,WITS - UNSD Comtrade
1378,Annual,World,Europe and Central Asia,All Products,Import Trade Value (US$ Thousand),2017,6602246713.89645,WITS - UNSD Comtrade
4981,Annual,World,World,Capital goods,Import Trade Value (US$ Thousand),2017,5843363423.084,WITS - UNSD Comtrade
1357,Annual,World,East Asia and Pacific,All Products,Import Trade Value (US$ Thousand),2017,5819563608.39991,WITS - UNSD Comtrade
4980,Annual,World,World,Consumer goods,Import Trade Value (US$ Thousand),2017,5399723676.17194,WITS - UNSD Comtrade
4974,Annual,World,World,Mach and Elec,Import Trade Value (US$ Thousand),2017,4813515925.58238,WITS - UNSD Comtrade
4979,Annual,World,World,Intermediate goods,Import Trade Value (US$ Thousand),2017,3710000979.73414,WITS - UNSD Comtrade
1361,Annual,World,East Asia and Pacific,Capital goods,Import Trade Value (US$ Thousand),2017,2734733102.83936,WITS - UNSD Comtrade
917,Annual,World,China,All Products,Import Trade Value (US$ Thousand),2017,2627888224.8833,WITS - UNSD Comtrade
1354,Annual,World,East Asia and Pacific,Mach and Elec,Import Trade Value (US$ Thousand),2017,2557599465.94601,WITS - UNSD Comtrade
1381,Annual,World,Europe and Central Asia,Consumer goods,Import Trade Value (US$ Thousand),2017,2430955490.66109,WITS - UNSD Comtrade
5406,Annual,United States,World,All Products,Import Trade Value (US$ Thousand),2017,2405276626.657,WITS - UNSD Comtrade
4978,Annual,World,World,Raw materials,Import Trade Value (US$ Thousand),2017,2265378470.214,WITS - UNSD Comtrade
5533,Annual,European Union,World,All Products,Import Trade Value (US$ Thousand),2017,2090461545.33432,WITS - UNSD Comtrade
4965,Annual,World,World,Fuels,Import Trade Value (US$ Thousand),2017,2000486588.76203,WITS - UNSD Comtrade
3211,Annual,World,North America,All Products,Import Trade Value (US$ Thousand),2017,1910575096.16401,WITS - UNSD Comtrade
5403,Annual,United States,World,Manufactures,Import Trade Value (US$ Thousand),2017,1874163160.85,WITS - UNSD Comtrade
